Position,Streams,Date,Region,Track ID
1,6791017,2017-03-19,global,7qiZfU4dY1lWllzX7mPBI3
4,3706615,2017-03-19,global,3eR23VReFzcdmS7TYCrhCe
7,3561983,2017-03-19,global,6RUKPb4LETWmmr3iAEQktW
9,3212490,2017-03-19,global,4aWmUDTfIPGksMNLV2rQP2
13,2914386,2017-03-19,global,3NdDpSvN911VPGivFlV5d0
15,2845211,2017-03-19,global,0KKkJNfGyhkQ5aFogxQAPU
1,6990435,2017-03-20,global,7qiZfU4dY1lWllzX7mPBI3
4,3911503,2017-03-20,global,3eR23VReFzcdmS7TYCrhCe
6,3745702,2017-03-20,global,6RUKPb4LETWmmr3iAEQktW
12,3135748,2017-03-20,global,4aWmUDTfIPGksMNLV2rQP2
16,2945830,2017-03-20,global,3NdDpSvN911VPGivFlV5d0
18,2926556,2017-03-20,global,0KKkJNfGyhkQ5aFogxQAPU
1,7049619,2017-03-21,global,7qiZfU4dY1lWllzX7mPBI3
3,3993922,2017-03-21,global,3eR23VReFzcdmS7TYCrhCe
5,3830283,2017-03-21,global,6RUKPb4LETWmmr3iAEQktW
10,3110043,2017-03-21,global,4aWmUDTfIPGksMNLV2rQP2
12,2995780,2017-03-21,global,0KKkJNfGyhkQ5aFogxQAPU
14,2923839,2017-03-21,global,3NdDpSvN911VPGivFlV5d0
1,7063984,2017-03-22,global,7qiZfU4dY1lWllzX7mPBI3
3,4023759,2017-03-22,global,3eR23VReFzcdmS7TYCrhCe
4,3855992,2017-03-22,global,6RUKPb4LETWmmr3iAEQktW
7,3142377,2017-03-22,global,4aWmUDTfIPGksMNLV2rQP2
9,3038142,2017-03-22,global,0KKkJNfGyhkQ5aFogxQAPU
11,2928872,2017-03-22,global,3NdDpSvN911VPGivFlV5d0
1,7042985,2017-03-23,global,7qiZfU4dY1lWllzX7mPBI3
3,4039993,2017-03-23,global,3eR23VReFzcdmS7TYCrhCe
4,3845747,2017-03-23,global,6RUKPb4LETWmmr3iAEQktW
7,3179335,2017-03-23,global,4aWmUDTfIPGksMNLV2rQP2
9,3029396,2017-03-23,global,0KKkJNfGyhkQ5aFogxQAPU
10,2889672,2017-03-23,global,3NdDpSvN911VPGivFlV5d0
1,7376172,2017-03-24,global,7qiZfU4dY1lWllzX7mPBI3
3,4204419,2017-03-24,global,3eR23VReFzcdmS7TYCrhCe
4,4011839,2017-03-24,global,6RUKPb4LETWmmr3iAEQktW
6,3462196,2017-03-24,global,4aWmUDTfIPGksMNLV2rQP2
8,3184736,2017-03-24,global,0KKkJNfGyhkQ5aFogxQAPU
11,2945639,2017-03-24,global,3NdDpSvN911VPGivFlV5d0
1,7429090,2017-03-25,global,7qiZfU4dY1lWllzX7mPBI3
3,4268037,2017-03-25,global,3eR23VReFzcdmS7TYCrhCe
4,3978468,2017-03-25,global,6RUKPb4LETWmmr3iAEQktW
5,3663942,2017-03-25,global,4aWmUDTfIPGksMNLV2rQP2
8,3270384,2017-03-25,global,0KKkJNfGyhkQ5aFogxQAPU
10,2873160,2017-03-25,global,3NdDpSvN911VPGivFlV5d0
1,6393509,2017-03-26,global,7qiZfU4dY1lWllzX7mPBI3
3,3698107,2017-03-26,global,3eR23VReFzcdmS7TYCrhCe
4,3463206,2017-03-26,global,6RUKPb4LETWmmr3iAEQktW
6,3088062,2017-03-26,global,4aWmUDTfIPGksMNLV2rQP2
